Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Chevrolet,Aveo,2011,Sedan,Ağ,1.4,-0.8906232276285417,Benzin,Avtomat,-0.3863462677029732,Xeyr,6764.705882352941
BMW,328,2015,Sedan,Göy,2.0,0.5256638069079157,Benzin,Avtomat,-0.12472821145009337,Xeyr,22000.0
Hyundai,Elantra,2020,Sedan,Gümüşü,2.0,-0.4022483881332116,Benzin,Avtomat,-1.1095039254218642,Xeyr,18529.41176470588
Hyundai,Accent,2011,Sedan,Gümüşü,1.6,-0.6659708014606899,Benzin,Avtomat,0.18663726756532764,Xeyr,10176.470588235294
Hyundai,Veloster,2013,Hetçbek,Ağ,1.6,-0.050618503696573905,Benzin,Avtomat,0.19315053989189646,Xeyr,11764.705882352942
Mercedes,E 220,2009,Sedan,Yaş Asfalt,2.2,-0.20689845233507956,Dizel,Avtomat,1.3416996230050515,Xeyr,13411.764705882353
Land Rover,Range Rover,2022,Offroader / SUV,Qara,3.0,2.039625809343439,Benzin,Avtomat,-1.4783628649294864,Bəli,245000.0
Land Rover,Range Rover,2022,Offroader / SUV,Boz,3.0,2.039625809343439,Benzin,Avtomat,-1.4395356081392103,Xeyr,159000.0
Mercedes,GLC 300,2020,Offroader / SUV,Ağ,2.0,0.5647337940675421,Benzin,Avtomat,-1.3880894928920946,Xeyr,43900.0
Nissan,Pathfinder,2005,Offroader / SUV,Qəhvəyi,4.0,0.7600837298656742,Benzin,Avtomat,2.8956829215222686,Xeyr,10882.35294117647
Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0,0.88706118813446,Benzin,Avtomat,-0.6700958603263104,Xeyr,45700.0
Mercedes,GLC 300,2018,Offroader / SUV,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,-0.6047495871482759,Xeyr,29800.0
Nissan,Juke,2015,Offroader / SUV,Tünd qırmızı,1.6,-0.7245757822001295,Benzin,Avtomat,-0.47856100257987877,Xeyr,13352.94117647059
Mercedes,E 200,2018,Sedan,Gümüşü,2.0,0.05682396099239873,Benzin,Avtomat,-0.8668335704826391,Xeyr,38000.0
Mercedes,E 220,1996,Sedan,Qara,2.2,-0.47062086566255784,Dizel,Avtomat,1.3366132523655254,Xeyr,4764.705882352941
LADA (VAZ),2106,1998,Sedan,Göy,1.6,-1.1348106473762067,Benzin,Mexaniki,2.404362814098116,Xeyr,3529.4117647058824
