,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
14047,BMW,520,2008,Sedan,Qara,2.0,177,Dizel,Avtomat,403000,Xeyr,25500,AZN,https://turbo.az//autos/7287677-bmw-520
14048,Toyota,RAV4,2013,Offroader / SUV,Qara,2.5,182,Benzin,Avtomat,217144,Xeyr,30000,AZN,https://turbo.az//autos/7046013-toyota-rav4
14049,LADA (VAZ),Niva,2023,Offroader / SUV,Qara,1.7,83,Benzin,Mexaniki,0,Bəli,21600,AZN,https://turbo.az//autos/7423943-lada-vaz-niva
14050,Nissan,Sunny,2006,Sedan,Gümüşü,1.6,107,Benzin,Avtomat,204161,Xeyr,12100,AZN,https://turbo.az//autos/7406744-nissan-sunny
14051,LADA (VAZ),Niva,2021,Offroader / SUV,Yaş Asfalt,1.7,83,Benzin,Mexaniki,43000,Xeyr,19700,AZN,https://turbo.az//autos/7378233-lada-vaz-niva
14052,BMW,X5,2016,Offroader / SUV,Ağ,3.0,306,Benzin,Avtomat,85000,Xeyr,40500,USD,https://turbo.az//autos/7433146-bmw-x5
14053,GAZ,Next A32R32-40,2023,Furqon,Ağ,2.8,149,Dizel,Mexaniki,0,Bəli,49700,AZN,https://turbo.az//autos/7246469-gaz-next-a32r32-40
14054,GAZ,Next А31R32,2023,Furqon,Boz,2.8,149,Dizel,Mexaniki,0,Bəli,45500,AZN,https://turbo.az//autos/7239328-gaz-next-31r32
14055,Hyundai,Azera,2011,Sedan,Ağ,2.4,180,Benzin,Avtomat,200000,Xeyr,24500,AZN,https://turbo.az//autos/7433138-hyundai-azera
14056,BMW,328,2015,Sedan,Qara,2.0,245,Benzin,Avtomat,49900,Xeyr,34900,AZN,https://turbo.az//autos/7433142-bmw-328
14057,GAZ,322173,2023,Mikroavtobus,Ağ,2.7,106,Benzin,Mexaniki,0,Bəli,44500,AZN,https://turbo.az//autos/7239409-gaz-322173
14058,GAZ,27527-745,2023,Furqon,Ağ,2.7,106,Benzin,Mexaniki,0,Bəli,33500,AZN,https://turbo.az//autos/7246860-gaz-27527-745
14059,GAZ,C45R02,2023,Furqon,Ağ,2.8,149,Dizel,Mexaniki,0,Bəli,53500,AZN,https://turbo.az//autos/7245966-gaz-c45r02
14060,GAZ,C41R13,2023,Yük maşını,Ağ,4.4,149,Dizel,Mexaniki,0,Bəli,117500,AZN,https://turbo.az//autos/7246417-gaz-c41r13
14061,GAZ,330232-744,2023,Yük maşını,Ağ,2.7,106,Benzin,Mexaniki,0,Bəli,44500,AZN,https://turbo.az//autos/7247033-gaz-330232-744
14062,LADA (VAZ),2107,1995,Sedan,Göy,1.6,75,Benzin,Mexaniki,41000,Xeyr,3400,AZN,https://turbo.az//autos/7433112-lada-vaz-2107
14063,GAZ,Next A21R32-30,2023,Yük maşını,Ağ,2.8,149,Dizel,Mexaniki,0,Bəli,44000,AZN,https://turbo.az//autos/7239296-gaz-next-a21r32-30
14064,Toyota,Prado,2018,Offroader / SUV,Ağ,4.0,249,Benzin,Avtomat,19999,Xeyr,55500,USD,https://turbo.az//autos/7253354-toyota-prado
14065,GAZ,C41R13,2023,Yük maşını,Ağ,4.4,170,Dizel,Mexaniki,0,Bəli,85000,AZN,https://turbo.az//autos/7239350-gaz-c41r13
14066,GAZ,33021,1997,Yük maşını,Bej,2.5,85,Benzin,Mexaniki,71357,Xeyr,6500,AZN,https://turbo.az//autos/7433131-gaz-33021
14067,Toyota,RAV4,1996,Offroader / SUV,Göy,2.0,152,Benzin,Avtomat,215000,Xeyr,6300,AZN,https://turbo.az//autos/7433133-toyota-rav4
14068,GAZ,330200,1998,Yük maşını,Boz,2.4,131,Benzin,Mexaniki,200000,Xeyr,7400,AZN,https://turbo.az//autos/7433126-gaz-330200
